protein,casein,scc,conc_fed
3.69,2.83,739,2.5
3.7,2.86,21,2.5
3.61,2.82,37,0
3.32,2.52,36,0
3.82,2.99,12,2.5
3.86,3.01,11,2.5
3.72,2.92,10,2.5
3.74,2.92,17,2.5
3.94,3.08,26,2.5
3.53,2.69,159,2.5
3.02,2.29,355,0
3.35,2.57,33,0
3.75,2.91,118,2.5
3.53,2.71,59,2.5
3.86,3.01,18,2.5
3.73,2.9,29,2.5
3.16,2.47,24,2.5
3.65,2.87,13,2.5
3.96,3.12,32,2.5
3.44,2.69,7,2.5
3.87,3.05,19,2.5
3.66,2.89,15,2.5
3.97,3.11,27,2.5
3.62,2.82,16,2.5
3.81,2.96,18,0
3.6,2.76,7,2.5
3.45,2.64,7,2.5
3.78,2.98,298,2.5
3.66,2.84,68,2.5
3.86,3.01,14,2.5
3.83,2.98,23,2.5
3.66,2.89,7,2.5
3.93,3.11,10,2.5
3.3,2.51,19,0
4.02,3.19,10,2.5
3.51,2.7,603,0
3.63,2.82,12,2.5
3.53,2.78,18,2.5
3.49,2.67,94,2.5
3.29,2.55,30,0
3.67,2.9,15,2.5
3.9,3.06,13,2.5
3.57,2.8,34,2.5
3.73,2.95,182,2.5
3.87,3,38,2.5
3.87,3.04,21,2.5
3.83,2.99,24,0
3.61,2.89,70,2.5
4.14,3.28,15,2.5
3.44,2.65,24,2.5
3.2,2.5,34,2.5
3.54,2.78,66,2.5
3.97,3.11,16,2.5
3.71,2.93,18,2.5
4.02,3.17,23,2.5
3.68,2.85,23,2.5
3.68,2.87,29,2.5
3.78,2.97,17,2.5
3.26,2.58,6,2.5
3.43,2.62,37,2.5
3.72,2.87,15,2.5
3.65,2.86,13,2.5
3.31,2.55,88,2.5
3.34,2.59,7,2.5
3.98,3.11,28,2.5
3.56,2.74,19,2.5
3.56,2.75,13,2.5
3.29,2.56,19,2.5
3.92,3,26,2.5
3.53,2.77,47,2.5
3.59,2.7,1653,2.5
3.5,2.71,25,2.5
3.88,3.05,12,2.5
3.21,2.45,29,2.5
3.85,3.01,18,2.5
4.17,3.24,25,2.5
3.86,3.03,37,2.5
3.59,2.81,26,0
3.47,2.71,24,0
3.61,2.76,37,2.5
3.93,3.03,23,2.5
3.46,2.68,41,2.5
3.78,2.96,65,2.5
3.27,2.57,19,0
3.85,3,14,2.5
3.47,2.74,15,2.5
3.63,2.84,31,2.5
3.14,2.42,19,2.5
3.52,2.78,10,2.5
3.93,3.06,11,2.5
2.94,2.26,110,2.5
3.67,2.78,23,2.5
3.7,2.87,19,0
