support,itemsets
0.6633333333333333,"frozenset({'children_(-0.0, 1.0]'})"
0.6516666666666666,frozenset({'mortgage_NO'})
0.5066666666666667,frozenset({'car_NO'})
0.5,frozenset({'sex_FEMALE'})
0.475,"frozenset({'income_(4956.0, 24386.0]'})"
0.45666666666666667,frozenset({'pep_YES'})
0.4483333333333333,frozenset({'region_INNER_CITY'})
0.3566666666666667,"frozenset({'age_(34.0, 51.0]'})"
0.34,frozenset({'married_NO'})
0.31,frozenset({'save_act_NO'})
0.24166666666666667,frozenset({'current_act_NO'})
0.7583333333333333,frozenset({'current_act_YES'})
0.66,frozenset({'married_YES'})
0.5433333333333333,frozenset({'pep_NO'})
0.5,frozenset({'sex_MALE'})
0.49333333333333335,frozenset({'car_YES'})
0.39166666666666666,"frozenset({'income_(24386.0, 43758.0]'})"
0.34833333333333333,frozenset({'mortgage_YES'})
0.28833333333333333,frozenset({'region_TOWN'})
0.69,frozenset({'save_act_YES'})
0.31833333333333336,"frozenset({'age_(51.0, 67.0]'})"
0.325,"frozenset({'age_(18.0, 34.0]'})"
0.22333333333333333,"frozenset({'children_(1.0, 2.0]'})"
0.5,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]'})"
0.4483333333333333,"frozenset({'children_(-0.0, 1.0]', 'save_act_YES'})"
0.3433333333333333,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.41333333333333333,"frozenset({'mortgage_NO', 'children_(-0.0, 1.0]'})"
0.5016666666666667,"frozenset({'mortgage_NO', 'current_act_YES'})"
0.45,"frozenset({'mortgage_NO', 'save_act_YES'})"
0.435,"frozenset({'married_YES', 'mortgage_NO'})"
0.32166666666666666,"frozenset({'mortgage_NO', 'current_act_YES', 'children_(-0.0, 1.0]'})"
0.2866666666666667,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'mortgage_NO'})"
0.2783333333333333,"frozenset({'mortgage_NO', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.22166666666666668,"frozenset({'married_YES', 'current_act_YES', 'children_(-0.0, 1.0]', 'mortgage_NO'})"
0.22333333333333333,"frozenset({'mortgage_NO', 'current_act_YES', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.35333333333333333,"frozenset({'mortgage_NO', 'current_act_YES', 'save_act_YES'})"
0.33166666666666667,"frozenset({'married_YES', 'current_act_YES', 'mortgage_NO'})"
0.30666666666666664,"frozenset({'married_YES', 'save_act_YES', 'mortgage_NO'})"
0.23666666666666666,"frozenset({'married_YES', 'current_act_YES', 'save_act_YES', 'mortgage_NO'})"
0.345,"frozenset({'car_NO', 'children_(-0.0, 1.0]'})"
0.3283333333333333,"frozenset({'car_NO', 'mortgage_NO'})"
0.39166666666666666,"frozenset({'car_NO', 'current_act_YES'})"
0.33666666666666667,"frozenset({'car_NO', 'married_YES'})"
0.28,"frozenset({'car_NO', 'pep_NO'})"
0.3416666666666667,"frozenset({'car_NO', 'save_act_YES'})"
0.265,"frozenset({'car_NO', 'current_act_YES', 'children_(-0.0, 1.0]'})"
0.21833333333333332,"frozenset({'car_NO', 'children_(-0.0, 1.0]', 'mortgage_NO'})"
0.2633333333333333,"frozenset({'car_NO', 'current_act_YES', 'mortgage_NO'})"
0.22166666666666668,"frozenset({'car_NO', 'married_YES', 'mortgage_NO'})"
0.215,"frozenset({'car_NO', 'save_act_YES', 'mortgage_NO'})"
0.25166666666666665,"frozenset({'car_NO', 'current_act_YES', 'married_YES'})"
0.23333333333333334,"frozenset({'car_NO', 'children_(-0.0, 1.0]', 'married_YES'})"
0.22166666666666668,"frozenset({'car_NO', 'save_act_YES', 'married_YES'})"
0.21,"frozenset({'car_NO', 'pep_NO', 'married_YES'})"
0.20833333333333334,"frozenset({'car_NO', 'current_act_YES', 'pep_NO'})"
0.225,"frozenset({'car_NO', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.265,"frozenset({'car_NO', 'current_act_YES', 'save_act_YES'})"
0.3416666666666667,"frozenset({'mortgage_NO', 'sex_FEMALE'})"
0.33,"frozenset({'sex_FEMALE', 'children_(-0.0, 1.0]'})"
0.255,"frozenset({'car_NO', 'sex_FEMALE'})"
0.38333333333333336,"frozenset({'sex_FEMALE', 'current_act_YES'})"
